Episodio,Recursos_Restantes,Emergencias_Activas,Accion_Agente1,Accion_Agente2,Accion_Agente3,Recompensa_Global,Intervenciones_Logicas
1,100,0,0,0,0,-3,"Ag1: R3: No hay emergencias activas, se bloquea gasto de recursos. | R3: No hay emergencias activas, se bloquea gasto de recursos. | Ninguna - Decisión RL aceptada"
2,100,0,0,1,1,-11,"Ag1: R3: No hay emergencias activas, se bloquea gasto de recursos. | R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | R8: Abundancia de recursos, forzando asignación en lugar de colaboración."
3,100,0,0,0,0,-3,Ag1: Ninguna - Decisión RL aceptada | Ninguna - Decisión RL aceptada | Ninguna - Decisión RL aceptada
4,90,0,0,1,1,-5,"Ag1: Ninguna - Decisión RL aceptada | R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | R8: Abundancia de recursos, forzando asignación en lugar de colaboración."
5,90,0,0,0,0,-3,"Ag1: R3: No hay emergencias activas, se bloquea gasto de recursos. | Ninguna - Decisión RL aceptada | Ninguna - Decisión RL aceptada"
6,90,0,1,1,0,-11,"Ag1: R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | R3: No hay emergencias activas, se bloquea gasto de recursos."
7,90,0,0,0,0,-3,"Ag1: Ninguna - Decisión RL aceptada | Ninguna - Decisión RL aceptada | R3: No hay emergencias activas, se bloquea gasto de recursos."
8,90,0,0,1,0,-7,"Ag1: Ninguna - Decisión RL aceptada | R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | R3: No hay emergencias activas, se bloquea gasto de recursos."
1,90,0,0,0,1,-10,"Ag1: Ninguna - Decisión RL aceptada | Ninguna - Decisión RL aceptada | R8: Abundancia de recursos, forzando asignación en lugar de colaboración."
2,80,0,0,1,0,-1,"Ag1: R3: No hay emergencias activas, se bloquea gasto de recursos. | R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | Ninguna - Decisión RL aceptada"
1,100,0,1,0,0,-7,"Ag1: R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | R3: No hay emergencias activas, se bloquea gasto de recursos. | R3: No hay emergencias activas, se bloquea gasto de recursos."
2,100,0,0,1,0,-7,"Ag1: Ninguna - Decisión RL aceptada | R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | Ninguna - Decisión RL aceptada"
1,90,0,1,0,0,8,"Ag1: R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | R3: No hay emergencias activas, se bloquea gasto de recursos. | Ninguna - Decisión RL aceptada"
2,80,0,0,1,0,-1,"Ag1: Ninguna - Decisión RL aceptada | R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | Ninguna - Decisión RL aceptada"
3,80,0,1,0,0,-7,"Ag1: R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | Ninguna - Decisión RL aceptada | Ninguna - Decisión RL aceptada"
4,80,0,0,0,0,-3,"Ag1: Ninguna - Decisión RL aceptada | R3: No hay emergencias activas, se bloquea gasto de recursos. | Ninguna - Decisión RL aceptada"
5,80,0,1,0,1,-11,"Ag1: R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | Ninguna - Decisión RL aceptada | R8: Abundancia de recursos, forzando asignación en lugar de colaboración."
1,90,0,0,1,0,-1,"Ag1: R3: No hay emergencias activas, se bloquea gasto de recursos. | R8: Abundancia de recursos, forzando asignación en lugar de colaboración. | Ninguna - Decisión RL aceptada"
2,90,0,0,0,0,-3,"Ag1: R3: No hay emergencias activas, se bloquea gasto de recursos. | Ninguna - Decisión RL aceptada | R3: No hay emergencias activas, se bloquea gasto de recursos."
